Time,Memory,Method
140603,976,PUT
168395,976,PUT
209352,976,PUT
138138,976,PUT
188644,976,PUT
134171,976,PUT
188453,976,PUT
167604,976,PUT
132468,976,PUT
175969,976,PUT
126157,976,PUT
168326,976,PUT
205876,976,PUT
161182,976,PUT
158898,976,PUT
208580,976,PUT
162714,976,PUT
180900,976,PUT
158357,976,PUT
186048,976,PUT
195686,976,PUT
216806,976,PUT
165871,976,PUT
168426,976,PUT
174327,976,PUT
158567,976,PUT
165931,976,PUT
118532,976,PUT
150893,976,PUT
146184,976,PUT
87063,976,PUT
142978,976,PUT
171001,976,PUT
147476,976,PUT
137217,976,PUT
136756,976,PUT
163777,976,PUT
132328,808,PUT
131266,808,PUT
142147,808,PUT
150662,808,PUT
133440,808,PUT
125395,808,PUT
132999,808,PUT
145312,808,PUT
136205,808,PUT
125185,808,PUT
128110,808,PUT
153207,808,PUT
128060,808,PUT
124133,808,PUT
152405,808,PUT
148098,808,PUT
139361,808,PUT
169558,808,PUT
128541,808,PUT
126958,808,PUT
122500,808,PUT
150763,808,PUT
155081,808,PUT
154379,808,PUT
138480,808,PUT
122950,808,PUT
124303,808,PUT
173004,808,PUT
135373,808,PUT
133870,808,PUT
176269,808,PUT
134101,808,PUT
155501,808,PUT
122870,808,PUT
273792,808,PUT
165450,808,PUT
120175,808,PUT
120896,808,PUT
123922,808,PUT
138650,808,PUT
123622,808,PUT
151133,808,PUT
128101,808,PUT
120215,808,PUT
82685,808,PUT
156965,808,PUT
117220,808,PUT
122830,808,PUT
157946,808,PUT
176882,808,PUT
158888,808,PUT
185187,808,PUT
132839,808,PUT
131617,808,PUT
126076,808,PUT
128421,808,PUT
123131,808,PUT
707988,5040,DELETE
433010,5024,DELETE
438320,4992,DELETE
462615,4968,DELETE
407973,4992,DELETE
439683,4968,DELETE
421569,4992,DELETE
436116,4968,DELETE
422721,4968,DELETE
447136,4968,DELETE
399858,4992,DELETE
491881,4744,DELETE
545921,4744,DELETE
471512,4744,DELETE
489055,4744,DELETE
431627,4744,DELETE
479687,4744,DELETE
450363,4784,DELETE
439332,4760,DELETE
440654,4760,DELETE
421358,4760,DELETE
492682,4760,DELETE
422580,4760,DELETE
544318,4760,DELETE
527677,4760,DELETE
474047,4760,DELETE
497722,4760,DELETE
545941,4760,DELETE
466392,4760,DELETE
451595,4784,DELETE
512629,4760,DELETE
398576,4760,DELETE
398957,4784,DELETE
438430,4760,DELETE
409666,4760,DELETE
476020,4760,DELETE
411259,4760,DELETE
451625,4784,DELETE
499104,4760,DELETE
460581,4760,DELETE
463848,4760,DELETE
419895,4760,DELETE
566269,4760,DELETE
506708,4760,DELETE
514923,4784,DELETE
485939,4760,DELETE
524582,4760,DELETE
528298,4760,DELETE
488133,4784,DELETE
435876,4760,DELETE
437068,4784,DELETE
481240,4760,DELETE
509232,4784,DELETE
283851,4760,DELETE
285795,4760,DELETE
440865,4760,DELETE
440494,4760,DELETE
406099,4784,DELETE
434483,4784,DELETE
395841,4784,DELETE
407252,4760,DELETE
446395,4760,DELETE
438701,4760,DELETE
455142,4760,DELETE
462466,4784,DELETE
469187,4760,DELETE
455202,4760,DELETE
425005,4760,DELETE
433641,4760,DELETE
430616,4800,DELETE
436697,4760,DELETE
426788,4784,DELETE
388817,4760,DELETE
484426,4760,DELETE
416900,4784,DELETE
484026,4760,DELETE
469178,4784,DELETE
516086,5016,DELETE
575116,4760,DELETE
474578,4760,DELETE
420757,4784,DELETE
453198,4760,DELETE
403805,4760,DELETE
490407,4760,DELETE
437308,4760,DELETE
455943,4784,DELETE
462706,4760,DELETE
427640,4784,DELETE
459941,4760,DELETE
445815,4760,DELETE
523189,4760,DELETE
391733,4760,DELETE
287958,4760,DELETE
417852,4760,DELETE
409897,4760,DELETE
410909,4760,DELETE
412281,4760,DELETE
